#,Event,Date,Venue,Location,Attendance,url
662,UFC Fight Night: Gane vs. Spivac,2023-09-02,Accor Arena,"Paris, France","15,610",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Spivac
661,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Singapore Indoor Stadium,"Kallang, Singapore","10,263",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._The_Korean_Zombie
660,UFC 292: Sterling vs. O'Malley,2023-08-19,TD Garden,"Boston, Massachusetts, U.S.","18,293",https://en.wikipedia.org/wiki/UFC_292
659,UFC on ESPN: Luque vs. dos Anjos,2023-08-12,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Luque_vs._dos_Anjos
658,UFC on ESPN: Sandhagen vs. Font,2023-08-05,Bridgestone Arena,"Nashville, Tennessee, U.S.","17,792",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Sandhagen_vs._Font
657,UFC 291: Poirier vs. Gaethje 2,2023-07-29,Delta Center,"Salt Lake City, Utah, U.S.","18,467",https://en.wikipedia.org/wiki/UFC_291
656,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,The O2 Arena,"London, England, UK","15,078",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Aspinall_vs._Tybura
655,UFC on ESPN: Holm vs. Bueno Silva,2023-07-15,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Holm_vs._Bueno_Silva
654,UFC 290: Volkanovski vs. Rodríguez,2023-07-08,T-Mobile Arena,"19,204",[75],https://en.wikipedia.org/wiki/UFC_290
653,UFC on ESPN: Strickland vs. Magomedov,2023-07-01,UFC Apex,—,[76],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Strickland_vs._Magomedov
652,UFC on ABC: Emmett vs. Topuria,2023-06-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","14,101",https://en.wikipedia.org/wiki/UFC_on_ABC:_Emmett_vs._Topuria
651,UFC on ESPN: Vettori vs. Cannonier,2023-06-17,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vettori_vs._Cannonier
650,UFC 289: Nunes vs. Aldana,2023-06-10,Rogers Arena,"Vancouver, British Columbia, Canada","17,628",https://en.wikipedia.org/wiki/UFC_289
649,UFC on ESPN: Kara-France vs. Albazi,2023-06-03,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kara-France_vs._Albazi
648,UFC Fight Night: Dern vs. Hill,2023-05-20,[81],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Hill
647,UFC on ABC: Rozenstruik vs. Almeida,2023-05-13,Spectrum Center,"Charlotte, North Carolina, U.S.","18,712",https://en.wikipedia.org/wiki/UFC_on_ABC:_Rozenstruik_vs._Almeida
646,UFC 288: Sterling vs. Cejudo,2023-05-06,Prudential Center,"Newark, New Jersey, U.S.","17,559",https://en.wikipedia.org/wiki/UFC_288
645,UFC on ESPN: Song vs. Simón,2023-04-29,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Song_vs._Sim%C3%B3n
644,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,[85],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Pavlovich_vs._Blaydes
643,UFC on ESPN: Holloway vs. Allen,2023-04-15,T-Mobile Center,"Kansas City, Missouri, U.S.","16,234",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Holloway_vs._Allen
642,UFC 287: Pereira vs. Adesanya 2,2023-04-08,Kaseya Center,"Miami, Florida, U.S.","19,032",https://en.wikipedia.org/wiki/UFC_287
641,UFC on ESPN: Vera vs. Sandhagen,2023-03-25,Frost Bank Center,"San Antonio, Texas, U.S.","16,076",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vera_vs._Sandhagen
640,UFC 286: Edwards vs. Usman 3,2023-03-18,The O2 Arena,"London, England, UK","17,588",https://en.wikipedia.org/wiki/UFC_286
639,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,The Theater at Virgin Hotels,"Las Vegas, Nevada, U.S.","2,361",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Yan_vs._Dvalishvili
638,UFC 285: Jones vs. Gane,2023-03-04,T-Mobile Arena,"19,471",[91],https://en.wikipedia.org/wiki/UFC_285
637,UFC Fight Night: Muniz vs. Allen,2023-02-25,UFC Apex,—,[92],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Muniz_vs._Allen
636,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,[93],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Andrade_vs._Blanchfield
635,UFC 284: Makhachev vs. Volkanovski,2023-02-12,RAC Arena,"Perth, Australia","14,124",https://en.wikipedia.org/wiki/UFC_284
634,UFC Fight Night: Lewis vs. Spivac,2023-02-04,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Spivac
633,UFC 283: Teixeira vs. Hill,2023-01-21,Jeunesse Arena,"Rio de Janeiro, Brazil","13,604",https://en.wikipedia.org/wiki/UFC_283
632,UFC Fight Night: Strickland vs. Imavov,2023-01-14,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Strickland_vs._Imavov
631,UFC Fight Night: Cannonier vs. Strickland,2022-12-17,[98],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cannonier_vs._Strickland
630,UFC 282: Błachowicz vs. Ankalaev,2022-12-10,T-Mobile Arena,"18,455",[99],https://en.wikipedia.org/wiki/UFC_282
629,UFC on ESPN: Thompson vs. Holland,2022-12-03,Kia Center,"Orlando, Florida, U.S.","17,065",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Thompson_vs._Holland
628,UFC Fight Night: Nzechukwu vs. Cuțelaba,2022-11-19,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nzechukwu_vs._Cu%C8%9Belaba
627,UFC 281: Adesanya vs. Pereira,2022-11-12,Madison Square Garden,"New York, New York, U.S.","20,845",https://en.wikipedia.org/wiki/UFC_281
626,UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodriguez_vs._Lemos
625,UFC Fight Night: Kattar vs. Allen,2022-10-29,[104],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Kattar_vs._Allen
624,UFC 280: Oliveira vs. Makhachev,2022-10-22,Etihad Arena,"Abu Dhabi, United Arab Emirates","13,400",https://en.wikipedia.org/wiki/UFC_280
623,UFC Fight Night: Grasso vs. Araújo,2022-10-15,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Grasso_vs._Ara%C3%BAjo
622,UFC Fight Night: Dern vs. Yan,2022-10-01,[107],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Yan
621,UFC Fight Night: Sandhagen vs. Song,2022-09-17,[108],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Sandhagen_vs._Song
620,UFC 279: Diaz vs. Ferguson,2022-09-10,T-Mobile Arena,"19,125",[109],https://en.wikipedia.org/wiki/UFC_279
619,UFC Fight Night: Gane vs. Tuivasa,2022-09-03,Accor Arena,"Paris, France","15,405",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Tuivasa
618,UFC 278: Usman vs. Edwards 2,2022-08-20,Vivint Arena,"Salt Lake City, Utah, U.S.","18,321",https://en.wikipedia.org/wiki/UFC_278
617,UFC on ESPN: Vera vs. Cruz,2022-08-13,Pechanga Arena,"San Diego, California, U.S.","12,804",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Vera_vs._Cruz
616,UFC on ESPN: Santos vs. Hill,2022-08-06,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Santos_vs._Hill
615,UFC 277: Peña vs. Nunes 2,2022-07-30,American Airlines Center,"Dallas, Texas, U.S.","19,442",https://en.wikipedia.org/wiki/UFC_277
614,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,The O2 Arena,"London, England, UK","17,813",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._Aspinall
613,UFC on ABC: Ortega vs. Rodríguez,2022-07-16,UBS Arena,"Hempstead, New York, U.S.","16,979",https://en.wikipedia.org/wiki/UFC_on_ABC:_Ortega_vs._Rodr%C3%ADguez
612,UFC on ESPN: dos Anjos vs. Fiziev,2022-07-09,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Fiziev
611,UFC 276: Adesanya vs. Cannonier,2022-07-02,T-Mobile Arena,"19,649",[118],https://en.wikipedia.org/wiki/UFC_276
610,UFC on ESPN: Tsarukyan vs. Gamrot,2022-06-25,UFC Apex,—,[119],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Tsarukyan_vs._Gamrot
609,UFC on ESPN: Kattar vs. Emmett,2022-06-18,Moody Center,"Austin, Texas, U.S.","13,689",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Emmett
608,UFC 275: Teixeira vs. Procházka,2022-06-12,Singapore Indoor Stadium,"Kallang, Singapore","10,787",https://en.wikipedia.org/wiki/UFC_275
607,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Rozenstruik
606,UFC Fight Night: Holm vs. Vieira,2022-05-21,[123],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Vieira
605,UFC on ESPN: Błachowicz vs. Rakić,2022-05-14,[124],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_B%C5%82achowicz_vs._Raki%C4%87
604,UFC 274: Oliveira vs. Gaethje,2022-05-07,Footprint Center,"Phoenix, Arizona, U.S.","17,232",https://en.wikipedia.org/wiki/UFC_274
603,UFC on ESPN: Font vs. Vera,2022-04-30,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Font_vs._Vera
602,UFC Fight Night: Lemos vs. Andrade,2022-04-23,[127],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lemos_vs._Andrade
601,UFC on ESPN: Luque vs. Muhammad 2,2022-04-16,[128],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Luque_vs._Muhammad_2
600,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","14,605",https://en.wikipedia.org/wiki/UFC_273
599,UFC on ESPN: Blaydes vs. Daukaus,2022-03-26,Nationwide Arena,"Columbus, Ohio, U.S.","18,630",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Blaydes_vs._Daukaus
598,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,The O2 Arena,"London, England, UK","17,081",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Aspinall
597,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Ankalaev
596,UFC 272: Covington vs. Masvidal,2022-03-05,T-Mobile Arena,"19,425",[133],https://en.wikipedia.org/wiki/UFC_272
595,UFC Fight Night: Makhachev vs. Green,2022-02-26,UFC Apex,—,[134],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Makhachev_vs._Green
594,UFC Fight Night: Walker vs. Hill,2022-02-19,[135],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Walker_vs._Hill
593,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,Toyota Center,"Houston, Texas, U.S.","17,872",https://en.wikipedia.org/wiki/UFC_271
592,UFC Fight Night: Hermansson vs. Strickland,2022-02-05,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hermansson_vs._Strickland
591,UFC 270: Ngannou vs. Gane,2022-01-22,Honda Center,"Anaheim, California, U.S.","17,387",https://en.wikipedia.org/wiki/UFC_270
590,UFC on ESPN: Kattar vs. Chikadze,2022-01-15,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Chikadze
589,UFC Fight Night: Lewis vs. Daukaus,2021-12-18,[140],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Daukaus
588,UFC 269: Oliveira vs. Poirier,2021-12-11,T-Mobile Arena,"18,471",[141],https://en.wikipedia.org/wiki/UFC_269
587,UFC on ESPN: Font vs. Aldo,2021-12-04,UFC Apex,—,[142],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Font_vs._Aldo
586,UFC Fight Night: Vieira vs. Tate,2021-11-20,[143],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Vieira_vs._Tate
585,UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,[144],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._Rodr%C3%ADguez
584,UFC 268: Usman vs. Covington 2,2021-11-06,Madison Square Garden,"New York, New York, U.S.","20,715",https://en.wikipedia.org/wiki/UFC_268
583,UFC 267: Błachowicz vs. Teixeira,2021-10-30,Etihad Arena,"Abu Dhabi, United Arab Emirates","10,171",https://en.wikipedia.org/wiki/UFC_267
582,UFC Fight Night: Costa vs. Vettori,2021-10-23,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Costa_vs._Vettori
581,UFC Fight Night: Ladd vs. Dumont,2021-10-16,[148],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ladd_vs._Dumont
580,UFC Fight Night: Dern vs. Rodriguez,2021-10-09,[149],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Rodriguez
579,UFC Fight Night: Santos vs. Walker,2021-10-02,[150],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Walker
578,UFC 266: Volkanovski vs. Ortega,2021-09-25,T-Mobile Arena,"19,029",[151],https://en.wikipedia.org/wiki/UFC_266
577,UFC Fight Night: Smith vs. Spann,2021-09-18,UFC Apex,—,[152],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Smith_vs._Spann
576,UFC Fight Night: Brunson vs. Till,2021-09-04,[153],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brunson_vs._Till
575,UFC on ESPN: Barboza vs. Chikadze,2021-08-28,[154],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Barboza_vs._Chikadze
574,UFC on ESPN: Cannonier vs. Gastelum,2021-08-21,[155],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Cannonier_vs._Gastelum
573,UFC 265: Lewis vs. Gane,2021-08-07,Toyota Center,"Houston, Texas, U.S.","16,604",https://en.wikipedia.org/wiki/UFC_265
572,UFC on ESPN: Hall vs. Strickland,2021-07-31,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Hall_vs._Strickland
571,UFC on ESPN: Sandhagen vs. Dillashaw,2021-07-24,51,[158],,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Sandhagen_vs._Dillashaw
570,UFC on ESPN: Makhachev vs. Moisés,2021-07-17,0,[159],,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Makhachev_vs._Mois%C3%A9s
569,UFC 264: Poirier vs. McGregor 3,2021-07-10,T-Mobile Arena,"20,062",[160],https://en.wikipedia.org/wiki/UFC_264
568,UFC Fight Night: Gane vs. Volkov,2021-06-26,UFC Apex,0,[161],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Volkov
