#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
670,UFC 295: Procházka vs. Pereira,2023-11-11,Madison Square Garden,"New York, New York, U.S.","19,039",https://en.wikipedia.org/wiki/UFC_295,https://www.bestfightodds.com/events/ufc-295-jones-vs-miocic-2957,
669,UFC Fight Night: Almeida vs. Lewis,2023-11-04,Ginásio do Ibirapuera,"São Paulo, Brazil","10,792",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Almeida_vs._Lewis,https://www.bestfightodds.com/events/ufc-fight-night-3051,https://www.bestfightodds.com/events/ufc-fight-night-3052
668,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,Etihad Arena,"Abu Dhabi, United Arab Emirates",—,https://en.wikipedia.org/wiki/UFC_294,https://www.bestfightodds.com/events/ufc-294-2908,
667,UFC Fight Night: Yusuff vs. Barboza,2023-10-14,UFC Apex,"Las Vegas, Nevada, U.S.",[62],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Yusuff_vs._Barboza,https://www.bestfightodds.com/events/ufc-3034,https://www.bestfightodds.com/events/ufc-fight-night-3043
666,UFC Fight Night: Dawson vs. Green,2023-10-07,[63],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dawson_vs._Green,https://www.bestfightodds.com/events/ufc-on-espn-53-2967,
665,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,[64],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Fiziev_vs._Gamrot,https://www.bestfightodds.com/events/ufc-fight-night-226-2905,
664,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,T-Mobile Arena,"18,766",[65],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Grasso_vs._Shevchenko_2,https://www.bestfightodds.com/events/ufc-fight-night-grasso-vs-shevchenko-2-2951,
663,UFC 293: Adesanya vs. Strickland,2023-09-10,Qudos Bank Arena,"Sydney, New South Wales, Australia","18,168",https://en.wikipedia.org/wiki/UFC_293,https://www.bestfightodds.com/events/ufc-293-2925,
662,UFC Fight Night: Gane vs. Spivac,2023-09-02,Accor Arena,"Paris, France","15,610",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gane_vs._Spivac,https://www.bestfightodds.com/events/ufc-on-espn-gane-vs-spivak-2934,
661,UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Singapore Indoor Stadium,"Kallang, Singapore","10,263",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._The_Korean_Zombie,https://www.bestfightodds.com/events/ufc-on-espn-holloway-vs-the-korean-zombie-2935,
