W/L,Fighter,KD,Total Strikes,Takedowns,Sub Attempts,Round,Time
"Darren Elkins 


Tristan Connelly","0
    

      0","19 of 39
    

      7 of 18","48%
    

      38%","55 of 84
    

      26 of 37","3 of 3
    

      0 of 0","0
    

      0","3:40
    

      0:08"
"Darren Elkins 


Tristan Connelly","0
    

      0","28 of 56
    

      34 of 50","50%
    

      68%","40 of 70
    

      37 of 53","1 of 5
    

      0 of 0","0
    

      0","2:07
    

      0:12"
"Darren Elkins 


Tristan Connelly","0
    

      0","28 of 56
    

      25 of 49","50%
    

      51%","70 of 105
    

      43 of 68","1 of 2
    

      0 of 0","0
    

      0","2:05
    

      0:38"
"Krzysztof Jotko 


Gerald Meerschaert","0
    

      0","30 of 55
    

      13 of 38","54%
    

      34%","34 of 63
    

      16 of 41","0 of 0
    

      0 of 0","0
    

      0","0:55
    

      0:12"
"Krzysztof Jotko 


Gerald Meerschaert","0
    

      0","21 of 38
    

      9 of 23","55%
    

      39%","58 of 78
    

      14 of 28","1 of 1
    

      1 of 3","0
    

      0","1:52
    

      1:09"
"Krzysztof Jotko 


Gerald Meerschaert","0
    

      0","14 of 31
    

      15 of 30","45%
    

      50%","37 of 54
    

      16 of 32","3 of 3
    

      0 of 1","0
    

      0","2:38
    

      0:33"
"Alexandr Romanov 


Chase Sherman","0
    

      0","8 of 14
    

      0 of 0","57%
    

      ---","11 of 17
    

      0 of 0","3 of 3
    

      0 of 0","0
    

      0","1:58
    

      0:00"
"Daniel Lacerda 


Francisco Figueiredo","0
    

      0","4 of 6
    

      5 of 5","66%
    

      100%","5 of 7
    

      5 of 5","1 of 1
    

      0 of 0","0
    

      0","0:28
    

      0:00"
"Gabe Green 


Yohan Lainesse","0
    

      0","12 of 57
    

      25 of 50","21%
    

      50%","16 of 61
    

      25 of 50","0 of 0
    

      1 of 1","0
    

      0","0:03
    

      0:32"
"Gabe Green 


Yohan Lainesse","0
    

      1","36 of 66
    

      16 of 30","54%
    

      53%","38 of 68
    

      17 of 31","0 of 0
    

      1 of 3","0
    

      0","0:38
    

      1:05"
"Natan Levy 


Mike Breeden","0
    

      0","25 of 41
    

      19 of 45","60%
    

      42%","26 of 42
    

      20 of 46","2 of 2
    

      3 of 3","0
    

      0","0:39
    

      0:40"
"Natan Levy 


Mike Breeden","0
    

      0","21 of 27
    

      23 of 45","77%
    

      51%","27 of 35
    

      24 of 46","7 of 8
    

      0 of 1","0
    

      0","2:40
    

      0:46"
"Natan Levy 


Mike Breeden","0
    

      0","46 of 73
    

      62 of 120","63%
    

      51%","46 of 73
    

      71 of 129","0 of 6
    

      0 of 0","0
    

      0","0:20
    

      0:30"
"Gina Mazany 


Shanna Young","0
    

      0","34 of 64
    

      20 of 49","53%
    

      40%","43 of 73
    

      21 of 50","0 of 3
    

      0 of 0","0
    

      0","1:15
    

      0:00"
"Gina Mazany 


Shanna Young","0
    

      0","14 of 22
    

      29 of 53","63%
    

      54%","14 of 22
    

      41 of 68","1 of 2
    

      0 of 0","0
    

      1","0:07
    

      0:57"
"Amanda Lemos 


Jessica Andrade","0
    

      0","7 of 17
    

      3 of 9","41%
    

      33%","7 of 17
    

      3 of 9","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:38"
